	A,			K,			Q,			J,			T,			9,			8,			7,			6,			5,			4,			3,			2,			
A,	49, 0, 51,	68, 0, 32,	0, 0, 0,	0, 0, 100,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	77, 0, 23,	0, 0, 53,	0, 0, 15,	0, 0, 22,	
K,	0, 0, 48,	53, 0, 47,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	
Q,	0, 0, 0,	0, 0, 0,	0, 0, 100,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	
J,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 100,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	
T,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 100,	0, 0, 100,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	
9,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 100,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	
8,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 100,	0, 0, 100,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	
7,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 100,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	
6,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 100,	0, 0, 100,	0, 0, 0,	0, 0, 0,	0, 0, 0,	
5,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	
4,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	
3,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	
2,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	
