	A,			K,			Q,			J,			T,			9,			8,			7,			6,			5,			4,			3,			2
A,	100, 0,		100, 0,		100, 0,		100, 0,		100, 0,		100, 0,		100, 0,		100, 0,		100, 0,		100, 0,		100, 0,		100, 0,		100, 0
K,	100, 0,		100, 0,		100, 0,		100, 0,		100, 0,		100, 0,		100, 0,		100, 0,		100, 0,		100, 0,		100, 0,		100, 0,		100, 0
Q,	100, 0,		100, 0,		100, 0,		100, 0,		100, 0,		100, 0,		100, 0,		100, 0,		100, 0,		100, 0,		100, 0,		100, 0,		100, 0
J,	100, 0,		100, 0,		100, 0,		100, 0,		100, 0,		100, 0,		100, 0,		100, 0,		100, 0,		100, 0,		100, 0,		31, 0,		0, 0
T,	100, 0,		100, 0,		100, 0,		100, 0,		100, 0,		100, 0,		100, 0,		100, 0,		100, 0,		35, 0,		0, 0,		0, 0,		0, 0
9,	100, 0,		100, 0,		100, 0,		100, 0,		100, 0,		100, 0,		100, 0,		100, 0,		100, 0,		0, 0,		0, 0,		0, 0,		0, 0
8,	100, 0,		68, 0,		0, 0,		34, 0,		100, 0,		68, 0,		100, 0,		100, 0,		100, 0,		83, 0,		0, 0,		0, 0,		0, 0
7,	100, 0,		27, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		100, 0,		100, 0,		100, 0,		0, 0,		0, 0,		0, 0
6,	100, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		11, 0,		100, 0,		100, 0,		100, 0,		0, 0,		0, 0
5,	100, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		100, 0,		100, 0,		10, 0,		0, 0
4,	100, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		100, 0,		0, 0,		0, 0
3,	15, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		100, 0,		0, 0
2,	0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		100, 0
